id,grupo,ingreso_mensual,antiguedad_laboral_anios,historial_crediticio,edad,codigo_postal_riesgo,tipo_empleo,deuda_ingreso,default_real,conjunto
437,A,7517,0.8,613,32,0.228,autonomo,0.228,0,auditoria
438,A,6461,0.1,740,29,0.371,estable,0.063,0,auditoria
439,A,7668,4.0,596,28,0.412,autonomo,0.237,0,auditoria
440,A,7138,4.2,715,44,0.404,autonomo,0.397,0,train
441,B,5712,3.3,585,55,0.221,autonomo,0.457,0,auditoria
442,A,7638,6.2,557,52,0.267,autonomo,0.297,0,auditoria
443,B,2923,2.4,561,55,0.489,estable,0.565,1,train
444,A,5745,5.6,571,36,0.298,estable,0.161,0,auditoria
445,B,3284,1.8,656,38,0.423,estable,0.219,0,train
446,B,5359,5.3,653,23,0.585,temporal,0.344,0,train
447,A,8982,2.5,696,39,0.252,autonomo,0.343,0,train
448,A,7044,15.2,670,32,0.372,autonomo,0.465,0,train
449,A,1965,2.4,705,47,0.223,temporal,0.474,0,train
450,B,4111,1.5,693,32,0.302,estable,0.559,0,train
451,B,7073,3.1,628,21,0.573,temporal,0.166,0,train
452,B,3164,9.3,616,40,0.504,estable,0.45,1,auditoria
453,B,5012,0.5,664,39,0.344,autonomo,0.577,0,train
454,A,4937,4.1,644,29,0.103,autonomo,0.178,0,train
455,A,3531,4.6,724,38,0.279,estable,0.391,0,train
456,B,3679,2.1,620,45,0.454,temporal,0.231,0,train
457,A,4768,4.7,712,28,0.086,estable,0.568,0,train
458,B,4291,8.1,609,27,0.216,estable,0.646,0,train
459,A,5828,3.4,721,21,0.172,estable,0.331,0,train
460,A,8083,7.8,616,35,0.453,autonomo,0.211,0,auditoria
461,A,7575,6.6,738,38,0.349,autonomo,0.354,0,train
462,A,7078,4.2,603,36,0.157,estable,0.59,0,train
463,A,6418,3.0,640,32,0.499,estable,0.404,0,auditoria
464,A,6920,7.4,695,29,0.128,estable,0.323,0,auditoria
465,A,5229,1.7,713,37,0.14,estable,0.499,0,train
466,B,3462,9.9,650,57,0.369,estable,0.452,0,auditoria
467,A,5551,3.3,740,37,0.004,estable,0.051,0,auditoria
468,B,5821,4.4,583,40,0.37,autonomo,0.535,1,auditoria
469,B,5357,1.4,585,43,0.574,autonomo,0.32,0,auditoria
470,A,9684,8.3,599,51,0.35,autonomo,0.222,0,train
471,B,5982,3.0,657,25,0.726,temporal,0.391,0,train
472,A,8518,19.3,650,52,0.386,temporal,0.39,0,train
473,A,7154,4.5,751,25,0.187,estable,0.259,0,auditoria
474,A,5978,4.9,688,52,0.059,estable,0.249,0,auditoria
475,A,9520,1.5,788,38,0.413,autonomo,0.242,0,train
476,A,6561,3.4,508,45,0.406,estable,0.456,0,auditoria
477,A,6339,0.1,555,35,0.192,estable,0.698,0,train
478,A,5893,1.8,657,44,0.289,estable,0.352,0,train
479,A,8962,2.7,664,31,0.417,estable,0.187,0,auditoria
480,A,6645,5.7,701,33,0.086,temporal,0.271,0,auditoria
481,A,6285,0.8,604,42,0.587,temporal,0.314,0,train
482,B,3478,3.5,522,21,0.338,temporal,0.566,0,train
483,A,6947,8.5,650,42,0.248,estable,0.175,0,auditoria
484,A,8867,4.0,534,33,0.153,estable,0.187,0,auditoria
485,B,4990,0.1,656,29,0.508,estable,0.289,0,train
486,B,7533,0.1,699,33,0.41,estable,0.133,0,train
487,B,2138,4.2,679,38,0.427,autonomo,0.179,0,train
488,B,7087,1.3,681,32,0.227,autonomo,0.402,0,train
489,A,4046,4.8,560,40,0.096,estable,0.294,1,train
490,A,4542,20.7,696,21,0.638,autonomo,0.505,0,train
491,A,4471,1.1,598,43,0.24,estable,0.216,0,train
492,B,4364,0.7,555,29,0.205,temporal,0.214,0,train
493,B,6969,6.4,476,38,0.404,autonomo,0.582,0,train
494,A,6415,4.1,677,43,0.5,estable,0.313,0,train
495,A,8440,0.2,591,39,0.082,estable,0.425,0,train
496,A,4479,5.6,708,66,0.102,estable,0.367,0,train
497,B,8676,2.7,673,44,0.601,estable,0.401,0,auditoria
498,B,4952,3.5,631,29,0.713,temporal,0.453,0,train
499,B,7799,0.5,699,22,0.577,temporal,0.436,0,auditoria
500,B,7822,0.1,563,41,0.774,temporal,0.477,0,train
501,B,8605,3.6,610,43,0.225,temporal,0.529,0,auditoria
502,A,9569,2.3,669,41,0.17,autonomo,0.314,0,auditoria
503,A,7832,8.1,666,46,0.407,estable,0.248,0,train
504,B,7645,4.3,587,21,0.392,autonomo,0.65,0,train
505,B,5376,1.5,732,37,0.16,estable,0.548,0,train
506,A,7861,3.3,713,32,0.093,autonomo,0.317,0,train
507,A,6599,15.1,673,46,0.028,estable,0.466,0,train
508,A,4378,4.6,714,37,0.579,autonomo,0.112,0,train
509,A,4600,3.1,620,31,0.189,autonomo,0.305,0,train
510,B,6080,11.9,684,24,0.683,estable,0.214,0,auditoria
511,A,5918,5.8,574,24,0.031,estable,0.037,0,train
512,B,4637,2.3,569,32,0.422,autonomo,0.386,0,train
513,A,3050,0.2,681,46,0.237,estable,0.161,0,train
514,A,9545,9.6,724,47,0.345,estable,0.534,0,train
515,A,8498,2.0,660,49,0.498,estable,0.373,0,train
516,A,9362,4.1,722,36,0.2,estable,0.441,0,auditoria
517,B,4359,3.7,570,43,0.539,autonomo,0.392,0,auditoria
518,A,5978,1.0,633,46,0.374,estable,0.368,0,auditoria
519,B,6210,0.3,625,31,0.578,temporal,0.262,0,train
520,B,4850,3.4,794,45,0.908,estable,0.368,0,train
521,B,4557,4.2,721,21,0.565,temporal,0.408,0,train
522,A,8664,15.6,638,47,0.044,estable,0.279,0,auditoria
523,B,4550,2.6,625,34,0.261,estable,0.385,0,train
524,A,3099,2.0,724,41,0.243,estable,0.147,0,train
525,B,6819,2.4,639,24,0.133,estable,0.437,0,train
526,A,7782,0.1,663,48,0.255,estable,0.387,0,train
527,A,5854,2.0,634,29,0.262,estable,0.516,0,auditoria
528,B,3874,0.6,706,31,0.652,autonomo,0.629,0,train
529,A,6598,0.8,757,29,0.289,autonomo,0.342,0,train
530,A,5436,5.5,577,28,0.519,estable,0.212,0,train
531,A,8605,2.4,688,23,0.267,autonomo,0.359,0,auditoria
532,B,3296,3.7,613,48,0.479,temporal,0.193,0,train
533,A,7798,0.9,692,43,0.277,estable,0.124,0,train
534,A,4235,6.5,655,25,0.325,autonomo,0.249,0,train
535,B,6404,2.1,633,31,0.314,temporal,0.319,0,auditoria
536,B,10066,3.9,584,46,0.28,estable,0.304,0,auditoria
537,A,8276,5.4,653,47,0.135,autonomo,0.469,0,auditoria
538,A,7319,5.9,592,35,0.034,autonomo,0.528,0,auditoria
539,A,6896,0.2,635,21,0.19,estable,0.2,1,train
540,A,5017,12.1,668,38,0.44,temporal,0.363,0,train
541,A,6887,3.3,606,48,0.364,estable,0.402,0,train
542,B,4542,9.6,692,38,0.494,temporal,0.501,0,train
543,B,5471,1.4,651,41,0.14,estable,0.482,0,auditoria
544,B,5597,2.6,621,43,0.599,temporal,0.248,0,auditoria
545,A,8431,15.0,641,31,0.202,autonomo,0.41,0,train
546,B,4074,1.6,588,44,0.597,estable,0.439,0,train
547,B,5673,0.3,624,34,0.588,estable,0.691,0,train
548,A,8095,13.1,649,45,0.532,estable,0.411,0,train
549,A,6855,3.8,641,34,0.576,autonomo,0.332,0,train
550,B,1948,1.5,651,46,0.761,estable,0.058,0,train
551,A,8532,3.0,465,43,0.151,estable,0.354,0,train
552,A,2726,2.5,535,41,0.175,estable,0.298,0,train
553,B,7671,1.4,665,31,0.218,autonomo,0.345,0,train
554,B,4203,3.7,604,29,0.718,temporal,0.359,0,auditoria
555,B,5528,4.1,543,26,0.46,temporal,0.386,0,train
556,B,4831,4.3,689,42,0.331,autonomo,0.535,0,train
557,B,8121,2.3,631,33,0.386,autonomo,0.75,0,train
558,A,4863,5.0,733,50,0.427,autonomo,0.268,0,auditoria
559,B,4628,9.5,591,40,0.532,temporal,0.31,0,train
560,B,6491,9.1,723,23,0.663,estable,0.315,0,train
561,B,3744,2.8,564,43,0.581,autonomo,0.202,0,auditoria
562,A,6285,0.6,543,30,0.145,estable,0.507,0,auditoria
563,A,4856,10.8,644,30,0.273,autonomo,0.199,0,auditoria
564,A,7241,2.2,830,44,0.156,estable,0.199,0,train
565,B,4411,0.2,543,21,0.291,temporal,0.527,0,train
566,B,3999,2.0,624,42,0.326,estable,0.363,0,auditoria
567,A,5087,1.2,535,21,0.317,estable,0.119,0,train
568,B,5122,0.7,591,42,0.199,temporal,0.613,1,train
569,A,5149,8.4,617,42,0.237,estable,0.356,0,train
570,A,6209,3.1,665,54,0.184,estable,0.247,0,train
571,A,8479,1.0,536,37,0.26,estable,0.437,0,train
572,B,3182,6.4,549,42,0.507,autonomo,0.417,0,auditoria
573,B,6810,3.2,494,37,0.619,estable,0.207,0,train
574,B,3621,12.6,557,37,0.419,temporal,0.297,0,train
575,A,6620,0.7,528,45,0.463,estable,0.439,0,auditoria
576,A,10198,2.6,613,33,0.301,estable,0.235,0,train
577,A,7000,3.4,661,43,0.177,estable,0.388,0,train
578,B,7491,1.7,531,38,0.397,estable,0.464,0,auditoria
579,B,6442,1.0,560,49,0.402,temporal,0.471,0,train
580,A,8179,0.9,701,37,0.406,estable,0.099,0,auditoria
581,B,4696,3.2,552,31,0.483,autonomo,0.357,1,train
582,A,7397,6.0,697,35,0.402,estable,0.565,0,auditoria
583,B,5823,2.6,616,48,0.247,estable,0.46,0,auditoria
584,A,6095,10.4,692,40,0.525,estable,0.408,0,train
585,A,4520,0.5,534,32,0.53,estable,0.55,0,train
586,A,5902,2.5,660,45,0.24,estable,0.336,0,train
587,A,4738,4.9,692,44,0.229,estable,0.614,0,auditoria
588,A,8216,1.2,672,37,0.271,estable,0.115,0,train
589,A,4881,11.6,676,24,0.156,autonomo,0.342,0,auditoria
590,B,5510,6.1,699,31,0.77,temporal,0.603,0,train
591,B,6291,1.0,559,25,0.573,estable,0.544,0,train
592,A,6425,5.9,560,53,0.023,estable,0.349,0,train
593,B,3184,0.1,626,46,0.463,estable,0.662,0,auditoria
594,B,7744,0.4,593,38,0.293,estable,0.367,0,auditoria
595,B,5113,3.1,535,39,0.245,autonomo,0.411,0,train
596,B,4948,0.5,665,36,0.284,temporal,0.256,0,auditoria
597,B,3494,2.1,645,36,0.697,temporal,0.464,0,train
598,B,5732,0.3,513,21,0.459,autonomo,0.185,0,auditoria
599,A,4587,3.9,583,47,0.277,estable,0.521,1,train
600,B,6214,3.7,566,37,0.644,autonomo,0.411,0,auditoria
601,B,7367,1.3,437,22,0.624,estable,0.18,0,train
602,A,6851,15.5,707,23,0.154,estable,0.026,0,train
603,B,5742,0.3,680,33,0.179,estable,0.391,0,train
604,B,4408,3.8,714,42,0.22,estable,0.455,0,auditoria
605,B,7505,4.7,511,26,0.729,estable,0.546,0,auditoria
606,A,7004,0.1,509,34,0.238,estable,0.419,0,auditoria
607,B,5513,4.8,680,26,0.462,autonomo,0.459,0,train
608,A,5400,2.0,617,27,0.09,autonomo,0.313,0,train
609,A,8060,7.9,557,29,0.105,estable,0.266,0,train
610,A,6695,4.3,749,38,0.182,estable,0.377,0,train
611,A,5125,2.7,765,33,0.334,estable,0.357,0,auditoria
612,B,6907,1.6,656,21,0.305,temporal,0.41,0,train
613,B,3474,2.0,568,29,0.407,autonomo,0.362,1,train
614,A,8058,10.0,812,37,0.236,estable,0.438,0,train
615,A,5855,1.2,682,33,0.247,autonomo,0.297,0,train
616,A,6601,0.7,752,27,0.553,estable,0.291,1,train
617,A,4071,5.2,658,37,0.352,autonomo,0.226,0,train
618,A,8445,10.4,682,34,0.399,estable,0.184,0,train
619,A,6833,5.2,604,22,0.115,estable,0.493,1,auditoria
620,A,5860,0.7,628,30,0.181,estable,0.317,0,train
621,B,3171,3.8,557,29,0.754,temporal,0.247,0,train
622,A,9534,0.8,709,53,0.489,estable,0.224,0,auditoria
623,A,5340,9.9,678,30,0.288,temporal,0.276,0,auditoria
624,B,5723,13.4,557,39,0.516,estable,0.633,0,auditoria
625,A,5822,0.1,538,41,0.276,estable,0.459,0,train
626,A,6537,5.1,532,51,0.038,temporal,0.028,0,train
627,B,6050,0.8,545,55,0.281,estable,0.442,1,auditoria
628,A,7154,8.8,643,48,0.738,autonomo,0.226,0,auditoria
629,B,7308,1.1,618,45,0.296,temporal,0.393,0,train
630,B,4258,2.0,598,35,0.426,estable,0.02,0,auditoria
631,A,8119,4.4,540,41,0.502,autonomo,0.202,0,train
632,B,2569,2.6,582,60,0.363,estable,0.511,0,auditoria
633,B,6528,3.5,610,47,0.714,estable,0.275,0,auditoria
634,A,4377,2.7,559,34,0.206,estable,0.421,0,train
635,B,2621,3.3,508,37,0.516,autonomo,0.442,0,train
636,A,8365,5.5,773,48,0.397,estable,0.283,0,train
637,A,5244,7.8,681,43,0.061,autonomo,0.22,0,auditoria
638,A,8819,7.5,681,67,0.301,estable,0.334,0,train
639,A,5066,3.2,609,51,0.442,autonomo,0.213,0,train
640,A,6723,7.0,697,29,0.157,autonomo,0.331,0,train
641,B,8351,2.5,629,21,0.416,autonomo,0.314,1,train
642,A,3845,3.3,612,42,0.438,autonomo,0.451,1,auditoria
643,A,6903,4.0,720,26,0.375,estable,0.354,0,auditoria
644,A,4655,2.1,681,29,0.11,estable,0.318,0,auditoria
645,B,6148,1.6,609,50,0.595,temporal,0.326,0,train
646,B,5560,5.3,703,31,0.35,temporal,0.449,0,train
647,A,8212,0.2,743,38,0.24,estable,0.37,0,train
648,A,8786,1.3,623,37,0.12,estable,0.551,1,train
649,A,5165,1.7,702,45,0.239,estable,0.392,0,train
650,A,9097,1.4,554,49,0.111,autonomo,0.306,0,train
651,A,7067,2.0,623,41,0.182,estable,0.317,0,auditoria
652,B,6576,9.5,562,45,0.26,temporal,0.129,0,train
653,A,5600,0.1,627,25,0.394,estable,0.02,0,train
654,B,4603,1.1,676,35,0.505,estable,0.365,0,train
655,B,5041,4.5,521,27,0.522,temporal,0.066,1,train
656,B,3178,2.4,566,39,0.663,estable,0.403,0,train
657,A,4287,0.3,850,40,0.498,autonomo,0.382,0,auditoria
658,A,6676,4.4,570,36,0.045,estable,0.336,0,auditoria
659,A,6509,3.1,735,48,0.13,autonomo,0.291,0,train
660,A,4742,5.5,573,50,0.259,estable,0.457,0,auditoria
661,A,8250,0.5,658,32,0.142,estable,0.394,0,auditoria
662,B,8847,0.9,447,27,0.531,estable,0.448,0,train
663,A,7213,1.2,681,26,0.225,autonomo,0.467,0,train
664,B,6864,2.5,557,31,0.37,autonomo,0.681,0,train
665,B,5305,1.8,617,42,0.44,temporal,0.187,0,auditoria
666,A,6420,0.5,616,42,0.474,estable,0.192,0,train
667,A,7001,13.4,670,33,0.572,autonomo,0.129,0,auditoria
668,B,5935,0.2,701,36,0.606,autonomo,0.662,0,train
669,A,4923,6.5,595,31,0.022,estable,0.066,0,auditoria
670,B,6954,6.4,663,40,0.45,estable,0.42,0,train
671,A,6803,8.0,670,24,0.361,estable,0.02,0,train
672,A,3936,6.8,670,21,0.277,estable,0.233,0,train
673,A,5072,8.8,730,37,0.189,estable,0.415,1,auditoria
674,A,7116,2.5,698,56,0.32,estable,0.333,0,train
675,A,5879,1.9,563,41,0.405,estable,0.143,0,train
676,B,5359,1.2,467,21,0.516,temporal,0.569,0,auditoria
677,B,5693,0.1,719,44,0.502,estable,0.558,0,train
678,A,9500,12.9,619,52,0.283,autonomo,0.451,0,auditoria
679,B,2753,2.6,620,33,0.567,autonomo,0.427,0,auditoria
680,B,3407,7.4,615,35,0.694,autonomo,0.424,1,train
681,A,9342,3.7,687,22,0.379,estable,0.351,0,train
682,B,9987,2.0,490,45,0.461,autonomo,0.388,0,train
683,B,10059,0.5,698,34,0.143,autonomo,0.511,0,train
684,B,1717,0.2,557,47,0.748,estable,0.186,0,auditoria
685,B,4420,0.8,523,24,0.439,estable,0.33,0,auditoria
686,A,5618,0.9,554,35,0.1,autonomo,0.173,0,train
687,B,5345,1.4,552,21,0.546,estable,0.605,0,train
688,A,7200,3.9,595,50,0.1,estable,0.286,0,train
689,A,2274,3.4,665,27,0.182,estable,0.257,0,train
690,B,1744,2.1,680,54,0.55,temporal,0.498,0,train
691,A,6898,0.4,683,44,0.391,temporal,0.181,1,auditoria
692,A,6421,17.6,612,29,0.282,estable,0.136,0,auditoria
693,B,5505,8.7,481,26,0.282,autonomo,0.11,0,train
694,A,7103,1.3,639,48,0.319,estable,0.291,0,train
695,B,6930,6.2,725,40,0.274,temporal,0.02,0,auditoria
696,A,5921,3.9,741,26,0.123,autonomo,0.399,0,train
697,A,8130,5.6,662,57,0.227,autonomo,0.092,0,train
698,A,4923,0.2,545,30,0.209,temporal,0.463,1,auditoria
699,A,6201,0.8,548,25,0.07,estable,0.299,0,train
700,A,5363,1.3,617,46,0.086,estable,0.226,0,train
701,A,6702,0.1,693,28,0.179,temporal,0.225,0,train
702,B,7815,2.7,688,35,0.634,estable,0.52,0,auditoria
703,B,5174,8.1,541,43,0.799,temporal,0.477,0,auditoria
704,B,5491,4.3,486,31,0.716,estable,0.327,0,auditoria
705,A,8509,12.2,646,29,0.4,estable,0.231,0,train
706,A,8023,2.1,673,25,0.438,estable,0.163,0,train
707,B,3346,6.9,700,50,0.397,temporal,0.074,0,train
708,A,7239,7.7,664,39,0.113,estable,0.147,0,train
709,A,5069,6.5,570,33,0.062,autonomo,0.365,0,train
710,A,5382,0.4,596,29,0.291,estable,0.397,0,train
711,A,5919,0.1,697,31,0.451,autonomo,0.281,0,auditoria
712,B,4043,4.3,592,37,0.475,estable,0.345,0,train
713,A,6600,2.8,663,46,0.336,autonomo,0.423,0,train
714,B,2311,1.7,472,37,0.17,estable,0.5,0,train
715,A,6313,11.0,737,46,0.306,estable,0.371,0,train
716,A,5433,10.9,517,42,0.353,estable,0.576,0,auditoria
717,B,7426,10.7,559,27,0.545,estable,0.44,0,train
718,B,7092,1.4,633,39,0.406,temporal,0.386,0,auditoria
719,A,4716,2.0,573,49,0.07,autonomo,0.523,1,auditoria
720,A,8559,1.9,706,38,0.108,autonomo,0.413,0,train
721,A,10114,9.8,576,56,0.433,temporal,0.305,0,train
722,B,7138,1.9,605,40,0.396,estable,0.33,0,train
723,B,7617,1.4,683,33,0.432,estable,0.585,1,auditoria
724,B,5307,1.5,593,21,0.454,estable,0.484,0,train
725,B,9039,0.9,601,28,0.517,autonomo,0.437,0,train
726,B,7576,0.6,669,33,0.403,autonomo,0.422,0,train
727,A,4515,0.7,482,26,0.252,estable,0.491,0,train
728,B,2801,1.3,696,21,0.542,estable,0.218,0,train
729,B,4871,0.4,580,47,0.633,estable,0.344,0,auditoria
730,B,3333,1.2,642,33,0.393,autonomo,0.391,0,train
731,A,8503,1.6,746,43,0.127,estable,0.387,0,train
732,B,4615,1.2,537,50,0.414,temporal,0.652,0,train
733,A,7895,1.1,591,42,0.053,temporal,0.414,0,train
734,A,7540,18.3,655,34,0.325,estable,0.181,0,auditoria
735,A,9152,17.8,584,46,0.305,estable,0.239,1,train
736,A,5345,0.8,632,55,0.528,autonomo,0.143,0,auditoria
737,B,4850,5.6,721,36,0.169,estable,0.319,0,train
738,B,6094,3.1,425,38,0.551,temporal,0.348,1,train
739,A,4319,0.6,685,46,0.239,estable,0.328,0,auditoria
740,B,4025,1.8,446,49,0.48,temporal,0.226,0,train
741,B,6779,5.4,593,45,0.45,autonomo,0.418,0,train
742,B,5193,1.6,539,35,0.558,estable,0.376,0,train
743,A,7537,4.5,661,36,0.079,estable,0.236,0,auditoria
744,B,7596,0.3,593,41,0.211,estable,0.573,0,auditoria
745,A,5337,1.9,678,31,0.419,estable,0.522,0,auditoria
746,A,7744,0.4,820,52,0.333,estable,0.357,0,train
747,A,8002,1.0,765,36,0.418,autonomo,0.325,0,auditoria
748,B,6356,0.2,669,47,0.243,temporal,0.433,1,train
749,A,8048,2.5,743,41,0.412,estable,0.431,0,train
750,B,2084,7.1,679,53,0.183,temporal,0.34,1,auditoria
751,B,4574,3.2,555,37,0.426,autonomo,0.614,0,train
752,B,7385,0.6,705,31,0.719,estable,0.342,0,auditoria
753,A,4445,0.6,541,47,0.488,estable,0.385,0,auditoria
754,A,5182,2.4,665,24,0.09,estable,0.345,0,train
755,A,7599,0.5,704,34,0.301,estable,0.593,0,auditoria
756,A,6301,0.8,755,41,0.229,estable,0.253,0,auditoria
757,B,4876,0.6,623,49,0.131,temporal,0.215,0,train
758,A,8107,0.6,615,27,0.169,estable,0.257,1,train
759,A,4637,7.3,681,36,0.428,estable,0.33,0,auditoria
760,B,5086,10.1,630,55,0.843,autonomo,0.478,0,train
761,B,6399,0.5,673,43,0.542,autonomo,0.585,0,train
762,A,7932,1.8,750,30,0.106,estable,0.187,0,train
763,B,7894,9.2,396,45,0.166,estable,0.411,0,train
764,A,6990,2.0,720,43,0.022,estable,0.378,0,train
765,A,6073,14.4,742,35,0.259,estable,0.352,0,train
766,A,5500,3.5,592,45,0.162,estable,0.544,0,train
767,B,5281,8.0,553,43,0.529,temporal,0.236,0,train
768,A,6059,4.2,633,21,0.231,estable,0.02,0,train
769,B,6296,5.3,616,36,0.564,estable,0.41,0,train
770,B,5299,9.6,635,45,0.206,autonomo,0.525,0,train
771,B,4865,3.9,674,33,0.422,temporal,0.254,1,train
772,B,4996,2.8,527,38,0.461,temporal,0.595,1,train
773,B,5806,1.8,603,21,0.42,temporal,0.34,0,auditoria
774,B,6739,9.3,718,43,0.572,autonomo,0.482,0,train
775,B,7467,2.4,453,32,0.575,autonomo,0.535,0,auditoria
776,B,6541,4.4,644,44,0.41,estable,0.569,0,auditoria
777,A,7584,2.8,661,26,0.19,estable,0.192,0,auditoria
778,A,5934,2.7,568,42,0.284,estable,0.167,0,train
779,A,5939,5.9,622,46,0.234,estable,0.358,0,train
780,B,4479,4.4,566,38,0.698,autonomo,0.433,1,train
781,A,6532,4.5,711,58,0.339,estable,0.474,0,train
782,A,4893,6.4,680,33,0.041,autonomo,0.214,0,auditoria
783,A,8916,5.7,597,26,0.119,estable,0.502,0,train
784,A,5437,3.8,735,47,0.1,estable,0.154,0,train
785,B,4327,2.7,517,23,0.627,autonomo,0.22,0,train
786,B,5925,1.0,637,42,0.705,estable,0.473,0,auditoria
787,A,5759,4.2,629,40,0.193,estable,0.462,0,train
788,B,2184,2.7,740,32,0.397,temporal,0.369,0,train
789,B,3513,2.1,433,60,0.197,autonomo,0.466,1,auditoria
790,A,6298,3.4,730,34,0.167,autonomo,0.323,0,train
791,B,4544,3.5,605,46,0.753,estable,0.536,0,auditoria
792,B,2752,0.3,630,33,0.533,autonomo,0.526,0,train
793,A,9369,2.0,599,48,0.257,estable,0.152,0,train
794,B,5164,8.6,438,35,0.65,temporal,0.316,0,auditoria
795,B,4026,1.8,609,30,0.573,temporal,0.442,1,train
796,A,8767,2.9,604,35,0.206,estable,0.356,0,auditoria
797,B,5130,7.5,695,25,0.564,temporal,0.142,0,auditoria
798,B,4710,2.6,553,40,0.479,estable,0.29,0,train
799,A,6057,4.8,572,47,0.096,autonomo,0.249,0,auditoria
800,A,8390,0.7,682,60,0.605,autonomo,0.288,0,train
801,A,6136,2.8,617,21,0.523,estable,0.471,0,train
802,B,4982,7.8,520,23,0.719,autonomo,0.3,0,train
803,A,3626,1.5,617,40,0.294,estable,0.03,0,train
804,A,7075,0.6,580,39,0.383,autonomo,0.185,0,train
805,B,6148,4.2,631,24,0.636,estable,0.296,0,train
806,B,6569,6.7,621,52,0.224,autonomo,0.254,0,train
807,B,2522,6.6,705,21,0.246,estable,0.417,0,train
808,A,10293,7.9,621,32,0.181,estable,0.389,0,train
809,B,7029,1.0,772,23,0.273,temporal,0.208,0,train
810,A,2567,11.0,647,43,0.127,autonomo,0.276,0,auditoria
811,B,6152,25.0,639,38,0.178,temporal,0.427,0,train
812,A,7308,5.5,768,36,0.193,estable,0.58,0,train
813,A,4725,8.4,667,37,0.064,estable,0.43,0,train
814,A,6934,1.1,607,39,0.109,estable,0.428,0,auditoria
815,A,4359,0.9,615,42,0.39,autonomo,0.377,0,train
816,A,3037,0.9,754,40,0.075,estable,0.303,0,train
817,A,10970,2.8,594,30,0.256,temporal,0.328,0,train
818,A,5099,0.1,646,29,0.559,autonomo,0.381,0,auditoria
819,A,7705,0.6,627,33,0.274,estable,0.348,0,train
820,A,7013,12.5,660,49,0.32,estable,0.118,0,train
821,A,7853,1.6,626,22,0.599,estable,0.468,0,train
822,A,7429,7.6,725,27,0.138,estable,0.268,0,auditoria
823,B,4618,2.0,621,21,0.516,temporal,0.303,0,train
824,A,7991,1.6,601,48,0.177,estable,0.255,0,train
825,B,6673,1.2,581,38,0.345,estable,0.18,0,train
826,B,8422,2.8,610,34,0.656,temporal,0.394,0,train
827,A,8167,3.1,699,31,0.214,estable,0.345,0,train
828,A,6410,0.5,742,38,0.169,temporal,0.195,0,auditoria
829,B,5579,7.9,603,38,0.314,temporal,0.45,1,auditoria
830,B,4809,5.5,621,23,0.291,autonomo,0.365,0,train
831,A,6308,2.7,713,28,0.385,estable,0.149,0,train
832,A,5332,1.1,644,40,0.172,estable,0.23,0,auditoria
833,A,5927,12.4,584,44,0.225,temporal,0.169,0,auditoria
834,B,4926,6.0,562,49,0.474,temporal,0.401,1,train
835,B,2829,3.1,693,30,0.432,autonomo,0.267,0,auditoria
836,A,4342,2.2,628,28,0.449,temporal,0.262,0,auditoria
837,A,7196,2.5,612,37,0.302,autonomo,0.217,0,auditoria
838,A,9818,12.2,624,40,0.404,autonomo,0.254,0,train
839,A,9246,3.2,633,34,0.367,estable,0.664,0,train
840,A,6468,12.3,574,28,0.455,estable,0.223,0,train
841,A,5592,0.4,564,23,0.257,estable,0.167,0,train
842,B,6471,3.7,592,48,0.744,temporal,0.234,0,train
843,A,8674,2.0,660,40,0.395,estable,0.298,0,auditoria
844,B,4107,0.9,556,28,0.397,temporal,0.464,0,train
845,B,5784,1.5,572,35,0.463,autonomo,0.374,0,auditoria
846,A,6600,7.9,692,31,0.154,estable,0.169,0,auditoria
847,A,7583,1.8,698,30,0.382,autonomo,0.381,0,auditoria
848,B,10015,0.9,570,27,0.56,autonomo,0.617,0,train
849,A,3038,7.8,633,44,0.215,estable,0.103,0,train
850,B,5170,5.5,746,54,0.526,estable,0.378,0,train
851,B,6547,2.5,638,50,0.428,estable,0.328,0,auditoria
852,A,9074,4.4,489,50,0.231,autonomo,0.374,0,train
853,B,6809,11.4,589,55,0.253,estable,0.212,0,train
854,B,5594,0.1,733,24,0.378,estable,0.429,0,train
855,A,6102,2.9,708,31,0.492,estable,0.176,0,auditoria
856,A,4337,4.4,689,49,0.639,estable,0.219,0,train
857,B,5747,7.9,603,40,0.458,estable,0.415,0,auditoria
858,B,6099,1.4,535,43,0.633,estable,0.403,0,auditoria
859,A,7569,2.2,735,35,0.631,autonomo,0.403,0,train
860,B,3976,4.0,522,41,0.584,autonomo,0.481,0,train
861,B,7432,2.3,569,46,0.715,autonomo,0.409,0,train
862,A,7416,6.5,589,51,0.357,temporal,0.1,0,train
863,A,5216,0.4,604,42,0.408,temporal,0.1,0,train
864,B,3309,5.2,639,51,0.263,estable,0.26,0,train
865,A,5801,0.7,738,32,0.331,estable,0.426,0,train
866,B,4769,4.0,607,46,0.175,temporal,0.532,0,train
867,B,1492,1.0,637,36,0.333,temporal,0.074,0,auditoria
868,A,2244,12.0,642,44,0.542,estable,0.578,0,train
869,A,5273,1.8,709,38,0.569,estable,0.202,0,train
870,A,6348,0.8,583,53,0.156,estable,0.28,0,train
871,A,9597,4.4,642,42,0.142,estable,0.451,0,train
872,B,6898,1.7,614,21,0.56,autonomo,0.526,1,train
873,A,6517,1.2,515,55,0.128,estable,0.038,0,train
874,B,6596,5.3,519,55,0.504,temporal,0.192,0,auditoria
